Gen;Run;BehaNAlung;Repetition;delta_ct
MAP2;7;NIM-1;3;0,0053608098
MAP2;7;7d_NIM-2;1;0,0008560603
MAP2;7;7d_NIM-2;2;0,0009432972
MAP2;7;7d_NIM-2;3;0,0009765625
MAP2;7;30d_NIM-2;1;0,0002785068
MAP2;7;30d_NIM-2;2;0,0002964343
MAP2;7;30d_NIM-2;3;0,0003199203
MAP2;7;30d_NIM-2_1d_MAT;1;4,95E-005
MAP2;7;30d_NIM-2_1d_MAT;2;0,000048109
MAP2;7;30d_NIM-2_1d_MAT;3;6,90E-005
MAP2;8;Control;1;0,000690534
MAP2;8;Control;2;0,0006398405
MAP2;8;Control;3;0,000740096
MAP2;8;NIM-1;1;0,009205212
MAP2;8;NIM-1;2;0,0075289619
MAP2;8;NIM-1;3;0,0084705224
MAP2;8;7d_NIM-2;1;0,0010110009
MAP2;8;7d_NIM-2;2;0,0009367814
MAP2;8;7d_NIM-2;3;0,0012275521
MAP2;8;30d_NIM-2;1;0,0003436752
MAP2;8;30d_NIM-2;2;0,0003632709
MAP2;8;30d_NIM-2;3;0,0003866547
MAP2;8;30d_NIM-2_1d_MAT;1;4,43E-005
MAP2;8;30d_NIM-2_1d_MAT;2;6,71E-005
MAP2;8;30d_NIM-2_1d_MAT;3;8,98E-005
GJB2;9;Control;1;1,90E-005
GJB2;9;Control;2;2,35E-005
GJB2;9;Control;3;6,89E-006
GJB2;9;NIM-1;1;4,86E-005
GJB2;9;NIM-1;2;6,54E-005
GJB2;9;NIM-1;3;0,000049576
GJB2;9;7d_NIM-2;1;0,0003319684
GJB2;9;7d_NIM-2;2;0,00040029
GJB2;9;7d_NIM-2;3;0,00040029
GJB2;9;30d_NIM-2;1;0,0001659842
GJB2;9;30d_NIM-2;2;0,0001603301
GJB2;9;30d_NIM-2;3;0,0002015371
GJB2;9;30d_NIM-2_1d_MAT;1;0,0006368907
GJB2;9;30d_NIM-2_1d_MAT;2;0,0005392842
GJB2;9;30d_NIM-2_1d_MAT;3;0,0005700331
GJB2;10;Control;1;9,70E-006
GJB2;10;Control;2;1,59E-005
GJB2;10;Control;3;0,000020368
GJB2;10;NIM-1;1;3,20E-005
GJB2;10;NIM-1;2;0,000016544
GJB2;10;NIM-1;3;2,07E-005
GJB2;10;7d_NIM-2;1;0,000200145
GJB2;10;7d_NIM-2;2;0,0001444976
GJB2;10;7d_NIM-2;3;0,0002086443
GJB2;10;30d_NIM-2;1;0,0002336549
GJB2;10;30d_NIM-2;2;0,0002937073
GJB2;10;30d_NIM-2;3;0,0002241367
GJB2;10;30d_NIM-2_1d_MAT;1;0,0003574428
GJB2;10;30d_NIM-2_1d_MAT;2;0,000342882
GJB2;10;30d_NIM-2_1d_MAT;3;0,000393868
GJB2;11;Control;1;3,12E-005
GJB2;11;Control;2;1,01E-005
GJB2;11;Control;3;0,000019048
GJB2;11;NIM-1;1;1,64E-005
GJB2;11;NIM-1;2;0,000023999
GJB2;11;NIM-1;3;1,57E-005
GJB2;11;7d_NIM-2;1;0,0001179121
GJB2;11;7d_NIM-2;2;0,0001373362
GJB2;11;7d_NIM-2;3;9,58E-005
GJB2;11;30d_NIM-2;1;0,0001577579
GJB2;11;30d_NIM-2;2;0,0001996831
GJB2;11;30d_NIM-2;3;0,0002125368
GJB2;11;30d_NIM-2_1d_MAT;1;0,0002533349
GJB2;11;30d_NIM-2_1d_MAT;2;0,0002331156
GJB2;11;30d_NIM-2_1d_MAT;3;0,0002810926
GJB2;12;Control;1;5,45E-005
GJB2;12;Control;2;0,0001260835
GJB2;12;Control;3;9,82E-005
GJB2;12;NIM-1;1;2,72E-005
GJB2;12;NIM-1;2;0,00001857
GJB2;12;NIM-1;3;1,16E-005
GJB2;12;7d_NIM-2;1;0,0001095087
GJB2;12;7d_NIM-2;2;0,0001223527
GJB2;12;7d_NIM-2;3;7,48E-005
GJB2;12;30d_NIM-2;1;0,0002634835
GJB2;12;30d_NIM-2;2;0,0002616634
GJB2;12;30d_NIM-2;3;0,0002309711
GJB2;12;30d_NIM-2_1d_MAT;1;0,0002175046
GJB2;12;30d_NIM-2_1d_MAT;2;0,000279151
GJB2;12;30d_NIM-2_1d_MAT;3;0,0002604571
GJD2;9;Control;1;0,000000064
GJD2;9;Control;2;NA
GJD2;9;Control;3;NA
GJD2;9;NIM-1;1;NA
GJD2;9;NIM-1;2;0,000000224
GJD2;9;NIM-1;3;NA
GJD2;9;7d_NIM-2;1;NA
GJD2;9;7d_NIM-2;2;2,34E-007
GJD2;9;7d_NIM-2;3;0,000000015
GJD2;9;30d_NIM-2;1;6,90E-007
GJD2;9;30d_NIM-2;2;4,38E-009
GJD2;9;30d_NIM-2;3;6,31E-007
GJD2;9;30d_NIM-2_1d_MAT;1;NA
GJD2;9;30d_NIM-2_1d_MAT;2;1,24E-007
GJD2;9;30d_NIM-2_1d_MAT;3;NA
GJD2;10;Control;1;NA
GJD2;10;Control;2;2,04E-007
GJD2;10;Control;3;NA
GJD2;10;NIM-1;1;7,02E-008
GJD2;10;NIM-1;2;0,000000062
GJD2;10;NIM-1;3;0,000001273
GJD2;10;7d_NIM-2;1;0,000000037
GJD2;10;7d_NIM-2;2;0,000000014
GJD2;10;7d_NIM-2;3;0,000000052
